PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895491	1473275420546	1473275420814	SHIFT	16
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895486	1473275420719	1473275420791	H	72
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895496	1473275420910	1473275420977	e	69
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895501	1473275420978	1473275421063	 	32
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895504	1473275421262	1473275421359	w	87
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895510	1473275421366	1473275421495	a	65
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895535	1473275421447	1473275421527	s	83
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895539	1473275421527	1473275421599	 	32
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895547	1473275421775	1473275421863	p	80
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895552	1473275421831	1473275421918	l	76
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895560	1473275421974	1473275422046	a	65
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895570	1473275422086	1473275422150	y	89
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895600	1473275422254	1473275422359	i	73
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895605	1473275422327	1473275422390	n	78
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895610	1473275422406	1473275422471	g	71
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895620	1473275422486	1473275422543	 	32
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895630	1473275422791	1473275422918	o	79
100008	1091062	He was playing only his third event on the European Tour.	He was playing only his third event on the European Tour.	51895662	1473275422863	1473275422950	n	78
