PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895219	1473275416530	1473275416839	SHIFT	16
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895226	1473275416749	1473275416886	B	66
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895230	1473275416995	1473275417061	u	85
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895235	1473275417123	1473275417189	t	84
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895239	1473275417235	1473275417354	 	32
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895245	1473275417432	1473275417511	y	84
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895385	1473275417652	1473275417739	e	69
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895388	1473275417804	1473275417875	 	32
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895394	1473275417999	1473275418071	BKSP	8
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895400	1473275418136	1473275418219	BKSP	8
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895405	1473275418284	1473275418371	BKSP	8
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895414	1473275418972	1473275419045	h	72
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895419	1473275419109	1473275419203	e	69
100007	1091059	But the pact has not entirely calmed the nation's nerves.	But the pact has not entirely calmed the nation's nerves. 	51895432	1473275419219	1473275419299	 	32
